# needle probe, 100m_base (ckpt_h100.pt), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         1.70     11.42   9.72       3/3
     inf    64         2.92     14.84  11.93       3/3
     inf   128         3.65     13.53   9.88       1/3
     inf   256         6.16     15.75   9.59       0/3
     inf   384         5.06     15.26  10.20       0/3
     inf   600        27.34     28.83   1.49       0/3
     inf  1024        21.99     23.05   1.06       0/3
     480     0         1.70     11.42   9.72       3/3
     480    64         2.92     14.84  11.93       3/3
     480   128         3.65     13.53   9.88       1/3
     480   256         6.16     15.75   9.59       0/3
     480   384         5.06     15.26  10.20       0/3
     480   600        14.28     14.34   0.06       0/3
     480  1024        15.13     15.12  -0.01       0/3
