# needle probe, 100m_bpe_base (ckpt_100m_bpe.pt, bpe8k, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         1.98     12.45  10.47       2/3
     inf    64         2.85     12.92  10.07       1/3
     inf   128         2.20     13.23  11.03       3/3
     inf   256         3.46     14.13  10.67       2/3
     inf   384         4.51     14.73  10.21       1/3
     inf   600         6.77     14.09   7.31       0/3
     inf  1024         9.29     15.34   6.05       0/3
     480     0         1.98     12.45  10.47       2/3
     480    64         2.85     12.92  10.07       1/3
     480   128         2.20     13.23  11.03       3/3
     480   256         3.46     14.13  10.67       2/3
     480   384         4.51     14.73  10.21       1/3
     480   600         6.77     14.09   7.31       0/3
     480  1024         9.29     15.34   6.05       0/3
