# needle probe, 100m_bpe_base_w2 (ckpt_100m_bpe.pt, bpe8k, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=2
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.55     13.35  10.80       9/10
     inf    64         2.25     13.25  10.99       7/10
     inf   128         5.80     13.51   7.71       1/10
     inf   256         5.71     13.74   8.03       3/10
     inf   384         7.01     14.44   7.43       1/10
     inf   600         7.78     14.21   6.43       0/10
     inf  1024         8.70     14.27   5.58       0/10
     480     0         2.55     13.35  10.80       9/10
     480    64         2.25     13.25  10.99       7/10
     480   128         5.80     13.51   7.71       1/10
     480   256         5.71     13.74   8.03       3/10
     480   384         7.01     14.44   7.43       1/10
     480   600         7.78     14.21   6.43       0/10
     480  1024         8.70     14.27   5.58       0/10
