# needle probe, 100m_bpe_chat_v3 (ckpt_100m_bpe_chat_v3.pt, bpe8k, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         0.54     12.26  11.72      10/10
     inf    64         0.30     11.96  11.66      10/10
     inf   128         0.12     11.47  11.35      10/10
     inf   256         0.66     13.20  12.54       9/10
     inf   384         0.99     14.45  13.46       9/10
     inf   600         0.69     12.81  12.12       9/10
     inf  1024         2.38     13.57  11.19       7/10
     480     0         0.54     12.26  11.72      10/10
     480    64         0.30     11.96  11.66      10/10
     480   128         0.12     11.47  11.35      10/10
     480   256         0.66     13.20  12.54       9/10
     480   384         0.99     14.45  13.46       9/10
     480   600         0.69     12.81  12.12       9/10
     480  1024         2.38     13.57  11.19       7/10
