# needle probe, 100m_chat_v1 (ckpt_h100_chat_v1.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.83     11.79   8.96       1/3
     inf    64         4.97     15.22  10.25       0/3
     inf   128         4.68     11.97   7.30       0/3
     inf   256         6.00     14.92   8.92       0/3
     inf   384         5.48     15.16   9.67       0/3
     inf   600        40.28     37.34  -2.94       0/3
     inf  1024        24.63     26.13   1.50       0/3
     480     0         2.83     11.79   8.96       1/3
     480    64         4.97     15.22  10.25       0/3
     480   128         4.68     11.97   7.30       0/3
     480   256         6.00     14.92   8.92       0/3
     480   384         5.48     15.16   9.67       0/3
     480   600        14.59     14.69   0.10       0/3
     480  1024        15.67     15.67  -0.00       0/3
