# needle probe, 100m_chat_v3 (ckpt_h100_chat_v3.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         0.90     11.66  10.77      10/10
     inf    64         0.05     13.85  13.80      10/10
     inf   128         0.85     15.40  14.55       9/10
     inf   256         5.82     18.27  12.45       0/10
     inf   384         3.21     17.54  14.33       0/10
     inf   600        51.92     58.82   6.90       0/10
     inf  1024        35.19     37.30   2.12       0/10
     480     0         0.90     11.66  10.77      10/10
     480    64         0.05     13.85  13.80      10/10
     480   128         0.85     15.40  14.55       9/10
     480   256         5.82     18.27  12.45       0/10
     480   384         3.21     17.54  14.33       0/10
     480   600        17.65     17.69   0.05       0/10
     480  1024        17.11     17.11  -0.00       0/10
