# needle probe, 25m_base_w2 (ckpt_scale_bytes_d256.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=1
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.26     12.58  10.32       6/10
     inf    64         4.14     14.63  10.49       0/10
     inf   128         4.04     13.80   9.76       1/10
     inf   256         6.76     15.34   8.58       0/10
     inf   384         8.37     14.95   6.58       0/10
     inf   600        24.30     23.38  -0.93       0/10
     inf  1024        23.84     24.25   0.40       0/10
     480     0         2.26     12.58  10.32       6/10
     480    64         4.14     14.63  10.49       0/10
     480   128         4.04     13.80   9.76       1/10
     480   256         6.76     15.34   8.58       0/10
     480   384         8.37     14.95   6.58       0/10
     480   600        14.23     14.22  -0.02       0/10
     480  1024        17.05     17.05   0.00       0/10
