# needle probe, 50m_base (ckpt_scale_bytes_d384.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.33     11.82   9.49      10/10
     inf    64         3.98     12.79   8.81       0/10
     inf   128         4.48     13.13   8.66       0/10
     inf   256         6.02     13.94   7.92       0/10
     inf   384         6.71     13.89   7.19       0/10
     inf   600        16.87     20.49   3.62       0/10
     inf  1024        17.93     21.67   3.74       0/10
     480     0         2.33     11.82   9.49      10/10
     480    64         3.98     12.79   8.81       0/10
     480   128         4.48     13.13   8.66       0/10
     480   256         6.02     13.94   7.92       0/10
     480   384         6.71     13.89   7.19       0/10
     480   600        13.14     13.13  -0.01       0/10
     480  1024        13.52     13.52  -0.00       0/10
